,Brewery_ID,Name,Type,ABV,IBU,Rating,Rating_Count
0,0,Long Walk,IPA - American,"
7% ABV ","
57 IBU ",(3.61),"
5,722 Ratings "
1,0,Kung Fu Robot,IPA - American,"
7% ABV ","
43 IBU ",(3.65),"
4,870 Ratings "
2,0,Vitality Light Ale,Blonde Ale,"
5% ABV ","
17 IBU ",(3.46),"
2,725 Ratings "
3,0,Sun Eater,Gruit / Ancient Herbed Ale,"
4.8% ABV ","
N/A IBU ",(3.49),"
2,588 Ratings "
4,0,Highland Scoundrel,Scotch Ale / Wee Heavy,"
10.6% ABV ","
20 IBU ",(3.84),"
2,420 Ratings "
5,1,Naked Nun,Wheat Beer - Witbier,"
5.8% ABV ","
N/A IBU ",(3.6),"
10,949 Ratings "
6,1,Tripel B,Belgian Tripel,"
 9.3% ABV ","
N/A IBU ",(3.87),"
10,281 Ratings "
7,1,Philosophizer,Farmhouse Ale - Saison,"
7.8% ABV ","
36 IBU ",(3.8),"
9,766 Ratings "
8,1,Hibiscus Saison,Farmhouse Ale - Saison,"
5.6% ABV ","
33 IBU ",(3.65),"
7,332 Ratings "
9,1,Flyin' Monks,Belgian Quadrupel,"
10.9% ABV ","
N/A IBU ",(3.95),"
6,320 Ratings "
10,2,Fire Eagle,IPA - American,"
 7.3% ABV ","
65 IBU ",(3.7),"
27,388 Ratings "
11,2,Pearl-Snap,Pilsner - German,"
5.3% ABV ","
45 IBU ",(3.55),"
24,024 Ratings "
12,2,Peacemaker,Golden Ale,"
5% ABV ","
15 IBU ",(3.49),"
13,802 Ratings "
13,2,Black Thunder,Schwarzbier,"
5.3% ABV ","
45 IBU ",(3.68),"
9,352 Ratings "
14,2,Bloodwork Orange IPA,IPA - American,"
7% ABV ","
72 IBU ",(3.74),"
10,104 Ratings "
15,3,Vulcan,IPA - Rye,"
6.5% ABV ","
45 IBU ",(3.7),"
3,179 Ratings "
16,3,Recalcitrant Dockhand,Porter - American,"
6.3% ABV ","
31 IBU ",(3.84),"
1,589 Ratings "
17,3,Waterloo,Sour - Berliner Weisse,"
3.1% ABV ","
6 IBU ",(3.75),"
1,364 Ratings "
18,3,Elba,Wheat Beer - American Pale Wheat,"
4.4% ABV ","
16 IBU ",(3.57),"
829 Ratings "
19,3,Pneuma,Pale Ale - American,"
5.4% ABV ","
36 IBU ",(3.66),"
705 Ratings "
20,4,Electric Lederhosen,Lager - Vienna,"
5% ABV ","
15 IBU ",(3.71),"
595 Ratings "
21,4,Propeller Head,IPA - American,"
6.6% ABV ","
50 IBU ",(3.63),"
602 Ratings "
22,4,Sol Surfer,Pale Ale - American,"
5.2% ABV ","
31 IBU ",(3.61),"
497 Ratings "
23,4,Pillow Fort,Pale Ale - New England,"
5.6% ABV ","
37 IBU ",(3.76),"
470 Ratings "
24,4,Lightning Wizard,Wheat Beer - Witbier,"
4.3% ABV ","
9 IBU ",(3.67),"
477 Ratings "
25,5,Celis White (US Only),Wheat Beer - Witbier,"
4.9% ABV ","
14 IBU ",(3.65),"
11,294 Ratings "
26,5,Citrus Grandis IPA,IPA - New England,"
5% ABV ","
45 IBU ",(3.57),"
5,175 Ratings "
27,5,Celis Raspberry,Fruit Beer,"
4.9% ABV ","
N/A IBU ",(3.6),"
4,560 Ratings "
28,5,Celis Pale Bock,Bock - Single / Traditional,"
4.9% ABV ","
12 IBU ",(3.53),"
4,510 Ratings "
29,5,Celis Grand Cru,Belgian Tripel,"
8.6% ABV ","
N/A IBU ",(3.75),"
4,045 Ratings "
30,6,Blur Texas Hefe,Hefeweizen,"
4.6% ABV ","
12 IBU ",(3.65),"
7,802 Ratings "
31,6,Envy Amber,Red Ale - American Amber / Red,"
4.8% ABV ","
26 IBU ",(3.49),"
3,985 Ratings "
32,6,Lady Bird American IPA,IPA - American,"
7.2% ABV ","
48 IBU ",(3.65),"
4,007 Ratings "
33,6,Alibi Blonde,Blonde Ale,"
4.3% ABV ","
17 IBU ",(3.46),"
3,443 Ratings "
34,6,Tuxedo Tshirt Black IPA,IPA - Black / Cascadian Dark Ale,"
6.5% ABV ","
41 IBU ",(3.63),"
2,558 Ratings "
35,7,Northwestern Pale Ale,Pale Ale - American,"
5.2% ABV ","
N/A IBU ",(3.64),"
277 Ratings "
36,7,Red Planet,Red Ale - American Amber / Red,"
4.8% ABV ","
N/A IBU ",(3.55),"
252 Ratings "
37,7,Hop Gold,Golden Ale,"
5.2% ABV ","
N/A IBU ",(3.53),"
242 Ratings "
38,7,Bombay IPA,IPA - American,"
6.8% ABV ","
N/A IBU ",(3.77),"
261 Ratings "
39,7,Jim Dandy IPA,IPA - American,"
7% ABV ","
70 IBU ",(3.82),"
208 Ratings "
40,8,Lord Zanate IPA,IPA - American,"
6.9% ABV ","
N/A IBU ",(3.61),"
342 Ratings "
41,8,Comtesse De Duval Saison,Farmhouse Ale - Saison,"
4.6% ABV ","
28 IBU ",(3.44),"
235 Ratings "
42,8,Sculptor Formosa,Porter - Coffee,"
6.5% ABV ","
N/A IBU ",(3.78),"
181 Ratings "
43,8,Dutchess of Oltorf,Roggenbier,"
4.3% ABV ","
N/A IBU ",(3.44),"
189 Ratings "
44,8,Professor Pleasant,Pale Ale - American,"
5.4% ABV ","
N/A IBU ",(3.44),"
171 Ratings "
45,9,Air Racer IPA,IPA - American,"
7.1% ABV ","
60 IBU ",(3.53),"
1,201 Ratings "
46,9,Flying Man Honey Wheat,Wheat Beer - Other,"
5.2% ABV ","
17 IBU ",(3.49),"
894 Ratings "
47,9,Water Bomber Watermelon Wheat,Wheat Beer - American Pale Wheat,"
5.2% ABV ","
18 IBU ",(3.53),"
668 Ratings "
48,9,Supersonic Blonde,Blonde Ale,"
5.5% ABV ","
20 IBU ",(3.53),"
483 Ratings "
49,9,Phantom Works Chipotle Stout,Stout - Other,"
6.9% ABV ","
N/A IBU ",(3.68),"
406 Ratings "
50,10,Dale's Pale Ale,Pale Ale - American,"
6.5% ABV ","
65 IBU ",(3.64),"
294,798 Ratings "
51,10,Pinner,IPA - Session / India Session Ale,"
4.9% ABV ","
35 IBU ",(3.67),"
176,187 Ratings "
52,10,Ten FIDY,Stout - Imperial / Double,"
10.5% ABV ","
65 IBU ",(4.1),"
158,604 Ratings "
53,10,Old Chub,Scotch Ale / Wee Heavy,"
8% ABV ","
30 IBU ",(3.74),"
157,232 Ratings "
54,10,Mama's Little Yella Pils,Pilsner - Czech,"
4.7% ABV ","
35 IBU ",(3.44),"
161,674 Ratings "
55,11,Electric Jellyfish,IPA - New England,"
6.5% ABV ","
N/A IBU ",(4.1),"
21,121 Ratings "
56,11,Training Bines,IPA - American,"
7.2% ABV ","
N/A IBU ",(4.06),"
4,298 Ratings "
57,11,Man O' War,IPA - American,"
6.5% ABV ","
N/A IBU ",(3.86),"
4,191 Ratings "
58,11,Bearded Seal,Stout - Irish Dry,"
6.1% ABV ","
N/A IBU ",(3.76),"
2,752 Ratings "
59,11,Fully Adrift,IPA - Imperial / Double,"
10.5% ABV ","
N/A IBU ",(4.16),"
2,272 Ratings "
60,12,Cream Ale,Cream Ale,"
6% ABV ","
12 IBU ",(3.6),"
770 Ratings "
61,12,Texas Pecan Brown Ale,Brown Ale - American,"
6% ABV ","
24 IBU ",(3.7),"
700 Ratings "
62,12,American IPA,IPA - American,"
7% ABV ","
65 IBU ",(3.67),"
550 Ratings "
63,12,American Amber Ale,Red Ale - American Amber / Red,"
6.5% ABV ","
41 IBU ",(3.64),"
516 Ratings "
64,12,Wit,Wheat Beer - Witbier,"
5.9% ABV ","
19 IBU ",(3.72),"
376 Ratings "
65,13,Iron Balls,Stout - Imperial / Double,"
9% ABV ","
45 IBU ",(3.78),"
807 Ratings "
66,13,Tommy Raj IPA,IPA - English,"
7.75% ABV ","
60 IBU ",(3.62),"
638 Ratings "
67,13,Longhorn Blonde,Golden Ale,"
5.3% ABV ","
22 IBU ",(3.36),"
401 Ratings "
68,13,Champs Au Sud,Farmhouse Ale - Saison,"
7.3% ABV ","
26 IBU ",(3.59),"
278 Ratings "
69,13,Faded,Pale Ale - American,"
7.17% ABV ","
N/A IBU ",(3.65),"
117 Ratings "
70,14,Folsom Prison Blueberry Porter,Porter - Other,"
6% ABV ","
25 IBU ",(3.66),"
143 Ratings "
71,14,Bidi Bidi Hop Bomb,IPA - American,"
6% ABV ","
70 IBU ",(3.57),"
136 Ratings "
72,14,Bella's Agave Rose,Red Ale - American Amber / Red,"
5% ABV ","
20 IBU ",(3.46),"
118 Ratings "
73,14,Orange Pfog,Pale Ale - American,"
5.5% ABV ","
30 IBU ",(3.58),"
125 Ratings "
74,14,Dia de los Compadres Muertos,Lager - Amber,"
5% ABV ","
15 IBU ",(3.75),"
110 Ratings "
75,15,Lupulus IPA,IPA - American,"
7% ABV ","
79 IBU ",(3.63),"
3,313 Ratings "
76,15,Nebulas,IPA - New England,"
6.3% ABV ","
N/A IBU ",(3.79),"
2,496 Ratings "
77,15,Umbra Chocostout,Stout - Milk / Sweet,"
6% ABV ","
N/A IBU ",(3.74),"
2,323 Ratings "
78,15,10 Day Scottish Ale,Scottish Ale,"
5.4% ABV ","
N/A IBU ",(3.61),"
2,015 Ratings "
79,15,Luna Rosa Wit,Wheat Beer - Witbier,"
5% ABV ","
16 IBU ",(3.59),"
1,941 Ratings "
80,16,Hillsdale,Pale Ale - American,"
5.4% ABV ","
37 IBU ",(3.78),"
74 Ratings "
81,16,Yard's Done!,Blonde Ale,"
4.2% ABV ","
20 IBU ",(3.84),"
68 Ratings "
82,16,Black Is Beautiful,Stout - Imperial / Double Coffee,"
10% ABV ","
48 IBU ",(4.03),"
54 Ratings "
83,16,Funbird,Hefeweizen,"
5.3% ABV ","
10 IBU ",(3.88),"
56 Ratings "
84,16,Bigfoot ESB,Extra Special / Strong Bitter,"
4.3% ABV ","
33 IBU ",(3.86),"
44 Ratings "
85,17,Electric Jellyfish,IPA - New England,"
6.5% ABV ","
N/A IBU ",(4.1),"
21,121 Ratings "
86,17,Training Bines,IPA - American,"
7.2% ABV ","
N/A IBU ",(4.06),"
4,298 Ratings "
87,17,Man O' War,IPA - American,"
6.5% ABV ","
N/A IBU ",(3.86),"
4,191 Ratings "
88,17,Bearded Seal,Stout - Irish Dry,"
6.1% ABV ","
N/A IBU ",(3.76),"
2,752 Ratings "
89,17,Fully Adrift,IPA - Imperial / Double,"
10.5% ABV ","
N/A IBU ",(4.16),"
2,272 Ratings "
90,18,House United Coffee Milk Stout,Stout - Other,"
4.7% ABV ","
30 IBU ",(3.88),"
1,677 Ratings "
91,18,HapSlappy IPA,IPA - American,"
7% ABV ","
75 IBU ",(3.76),"
1,489 Ratings "
92,18,Superfly Jimmy Snicka Stout,Stout - Milk / Sweet,"
7.5% ABV ","
35 IBU ",(4.16),"
1,100 Ratings "
93,18,Trail Runner Golden Ale,Golden Ale,"
5% ABV ","
15 IBU ",(3.51),"
883 Ratings "
94,18,8.5.88 Double IPA,IPA - Imperial / Double,"
8.5% ABV ","
88 IBU ",(4.07),"
669 Ratings "
95,19,Weizenbock,Bock - Weizenbock,"
5.7% ABV ","
N/A IBU ",(3.64),"
1,722 Ratings "
96,19,IPA,IPA - American,"
6.7% ABV ","
65 IBU ",(3.54),"
1,531 Ratings "
97,19,Hefeweizen,Hefeweizen,"
5.4% ABV ","
10 IBU ",(3.57),"
1,557 Ratings "
98,19,Blonde,Blonde Ale,"
5.2% ABV ","
15 IBU ",(3.48),"
891 Ratings "
99,19,Red Poppy Red Irish Ale,Red Ale - Irish,"
5.6% ABV ","
25 IBU ",(3.6),"
750 Ratings "
100,20,Texas Red,Red Ale - Irish,"
5.09% ABV ","
19 IBU ",(3.25),"
196 Ratings "
101,20,Honey Porter,Porter - Other,"
7.92% ABV ","
39 IBU ",(3.53),"
165 Ratings "
102,20,San Gabriel IPA,IPA - American,"
6.11% ABV ","
57 IBU ",(3.2),"
159 Ratings "
103,20,Irish Coffee Porter,Porter - English,"
9.48% ABV ","
39 IBU ",(3.73),"
112 Ratings "
104,20,Wee Heavy,Scotch Ale / Wee Heavy,"
8% ABV ","
30 IBU ",(3.74),"
68 Ratings "
105,21,Lovely Day IPA,IPA - American,"
6.8% ABV ","
70 IBU ",(3.62),"
2,442 Ratings "
106,21,Könverter Kölsch,Kölsch,"
4.7% ABV ","
17 IBU ",(3.6),"
1,699 Ratings "
107,21,Long Gone Blonde,Blonde Ale,"
5.2% ABV ","
10 IBU ",(3.6),"
1,772 Ratings "
108,21,Cedrela Hefeweizen,Hefeweizen,"
5% ABV ","
8 IBU ",(3.65),"
1,395 Ratings "
109,21,8.5 Minute Abs,IPA - Imperial / Double New England,"
8.5% ABV ","
55 IBU ",(4.04),"
1,319 Ratings "
110,22,Wit-tington,Wheat Beer - Witbier,"
4.5% ABV ","
N/A IBU ",(3.72),"
498 Ratings "
111,22,Fan Fare,Farmhouse Ale - Saison,"
7% ABV ","
N/A IBU ",(3.67),"
389 Ratings "
112,22,Cloaked In A Violet Crown,Sour - Fruited,"
5.9% ABV ","
N/A IBU ",(3.87),"
372 Ratings "
113,22,Brillant Disguise,IPA - Milkshake,"
8% ABV ","
N/A IBU ",(3.6),"
333 Ratings "
114,22,Blind Alibi,IPA - International,"
7.5% ABV ","
N/A IBU ",(3.78),"
302 Ratings "
115,23,Liquid Television,Pale Ale - New England,"
6.1% ABV ","
46 IBU ",(4.1),"
258 Ratings "
116,23,Koala Takedown,IPA - International,"
6.5% ABV ","
50 IBU ",(3.97),"
189 Ratings "
117,23,Thumb Puncher,Pale Ale - American,"
4.5% ABV ","
35 IBU ",(3.77),"
149 Ratings "
118,23,Suavemente,Pale Ale - American,"
5% ABV ","
35 IBU ",(3.66),"
135 Ratings "
119,23,BJÖRN AGAIN TEXAN,Pale Ale - American,"
4.9% ABV ","
35 IBU ",(3.88),"
127 Ratings "
120,24,(512) Pecan Porter,Porter - American,"
6.2% ABV ","
30 IBU ",(3.89),"
41,197 Ratings "
121,24,(512) IPA,IPA - American,"
7% ABV ","
65 IBU ",(3.73),"
34,184 Ratings "
122,24,(512) Whiskey Barrel Aged Double Pecan Porter,Porter - Imperial / Double,"
9.5% ABV ","
30 IBU ",(4.2),"
8,388 Ratings "
123,24,(512) Wit,Wheat Beer - Witbier,"
5.2% ABV ","
10 IBU ",(3.57),"
5,775 Ratings "
124,24,(512) Cascabel Cream Stout,Stout - Milk / Sweet,"
6% ABV ","
20 IBU ",(3.79),"
5,303 Ratings "
125,25,Superliner,IPA - American,"
6.8% ABV ","
60 IBU ",(3.75),"
4,208 Ratings "
126,25,Hell Yes Helles,Lager - Helles,"
4.5% ABV ","
18 IBU ",(3.66),"
3,751 Ratings "
127,25,Big Mama Red,Red Ale - Imperial / Double,"
7.9% ABV ","
80 IBU ",(3.71),"
3,416 Ratings "
128,25,Industry Pils,Pilsner - German,"
4.9% ABV ","
40 IBU ",(3.67),"
3,107 Ratings "
129,25,Day Trip Pale Ale,Pale Ale - American,"
5.5% ABV ","
39 IBU ",(3.64),"
3,026 Ratings "
130,26,Stash IPA,IPA - American,"
7.5% ABV ","
94 IBU ",(3.73),"
38,976 Ratings "
131,26,Austin Amber,Red Ale - American Amber / Red,"
6% ABV ","
32 IBU ",(3.47),"
25,291 Ratings "
132,26,Convict Hill,Stout - Oatmeal,"
8% ABV ","
25 IBU ",(3.8),"
16,302 Ratings "
133,26,Redbud,Sour - Berliner Weisse,"
4.9% ABV ","
12 IBU ",(3.62),"
11,863 Ratings "
134,26,Power & Light Session IPA,IPA - Session / India Session Ale,"
5.5% ABV ","
42 IBU ",(3.55),"
10,446 Ratings "
135,27,Peak Season,IPA - New England,"
6.6% ABV ","
N/A IBU ",(3.92),"
612 Ratings "
