id,name,street_address,zipcode,austin_area,untappd_website
0,4th Tap Brewing Cooperative,10615 Metric Boulevard,78758,North,https://untappd.com/4thTap/beer
1,Adelbert’s Brewery,2314 Rutland Drive,78758,North,https://untappd.com/adelbertsbrewery/beer
2,Austin Beerworks,3001 Industrial Terrace,78758,North,https://untappd.com/austinbeerworks/beer
3,Black Star Co-Op,7020 Easy Wind Drive,78752,North,https://untappd.com/BlackStarCo-op/beer
4,Brewtorium,6015 Dillard Circle,78752,North,https://untappd.com/Brewtorium/beer
5,Celis Brewing,10001 Metric Boulevard,78758,North,https://untappd.com/CelisBrewery/beer
6,Circle Brewing,2340 W Braker Lane,78758,North,https://untappd.com/circlebrewing/beer
7,Draught House,4112 Medical Parkway,78756,North,https://untappd.com/Draught_House/beer
8,Hopsquad Brewing,2307 Kramer Lane,78758,North,https://untappd.com/w/hopsquad-brewing-co/437694/beer
9,Flying Man Brewing,2400 Patterson Industrial Drive,78660,North,https://untappd.com/FlyingManBrewing/beer
10,Oskar Blues,10420 Metric Boulevard,78758,North,https://untappd.com/oskarblues/beer
11,Pinthouse Pizza,4729 Burnet Road,78756,North,https://untappd.com/PinthousePizza/beer
12,Bluebonnet Beer Company,1700 Bryant Dr. #107,78664,Northern Suburbs,https://untappd.com/BluebonnetBeerCo/beer
13,Bull Creek Brewing,7100 FM 3405,78642,Northern Suburbs,https://untappd.com/w/bull-creek-brewing/208827/beer
14,Compadre Brewing,16920 Joe Barbee Drive Bldg 1,78664,Northern Suburbs,https://untappd.com/CompadreBrewing/beer
15,Flix Brewhouse,2200 S Interstate 35 B1,78681,Northern Suburbs,https://untappd.com/FlixBrewhouse/beer
16,Humble Pint Brewing Co.,11880 Hero Way W Suite 208,78641,Northern Suburbs,https://untappd.com/w/humble-pint-brewing-co/463104/beer
17,Pinthouse Pizza,2800 Hoppe Trail,78681,Northern Suburbs,https://untappd.com/PinthousePizza/beer
18,Red Horn Coffee House & Brewing Co.,13010 W. Parmer Ln. #800,78613,Northern Suburbs,https://untappd.com/RedHornBrewZack/beer
19,Rentsch Brewery,2500 NE Inner Loop,78626,Northern Suburbs,https://untappd.com/RentschBrewery/beer
20,San Gabriel River Brewery,500 Chaparral Drive,78641,Northern Suburbs,https://untappd.com/w/san-gabriel-river-brewery/273321/beer
21,Whitestone Brewery,601 E. Whitestone Blvd. #500,78613,Northern Suburbs,https://untappd.com/WhitestoneBrewery/beer
22,Central District Brewing,417 Red River Street,78701,Central/Downtown,https://untappd.com/CentralDistrictBrewing/beer
23,Holdout Brewing,1208 W 4th Street,78703,Central/Downtown,https://untappd.com/HoldOutBrewing/beer
24,(512) Brewing,407 Radam Lane,78745,South,https://untappd.com/512Brewing/beer
25,Austin Beer Garden & Brewery (ABGB),1305 W Oltorf Street,78704,South,https://untappd.com/ABGB/beer
26,Independence Brewing,3913 Todd Lane #607,78744,South,https://untappd.com/indybrewing/beer
27,Nomadic Beerworks,3804 Woodbury Drive Suite A,78704,South,https://untappd.com/NomadicBeerworks/beer
28,Orf Brewing,4700-F Burle­son Road,78744,South,https://untappd.com/OrfBrewing/beer
29,Pinthouse Pizza,4236 S Lamar Boulevard,78704,South,https://untappd.com/PinthousePizza/beer
30,St Elmo Brewing,440 E St Elmo Road,78745,South,https://untappd.com/StElmoBrewingCompany/beer
31,Thirsty Planet Brewing,8201 S Congress Avenue,78745,South,https://untappd.com/thirstyplanet/beer
32,Batch Brewhouse,3220 Manor Road,78723,East,https://untappd.com/w/batch-craft-beer-kolaches/388953/beer
33,Blue Owl Brewing,2400 E Cesar Chavez Street,78702,East,https://untappd.com/BlueOwlBrewing/beer
34,Central Machine Works Brewery and Beer Hall,4824 E Cesar Chavez Street,78702,East,https://untappd.com/w/central-machine-works/449899/beer
35,Friends & Allies Brewing,979 Springdale Road,78702,East,https://untappd.com/FriendsAndAllies/beer
36,Hi Sign Brewing,1201 Bastrop Highway,78742,East,https://untappd.com/Hi_Sign/beer
37,Hops and Grain,507 Calles Street,78702,East,https://untappd.com/hopsandgrain/beer
38,Lazarus Brewing,1902 E 6th Street,78702,East,https://untappd.com/LazarusBrewingCo/beer
39,Live Oak Brewing,1615 Crozier Lane,78617,East,https://untappd.com/LiveOakBrewingCompany/beer
40,Oddwood Ales,3108 Manor Road,78723,East,https://untappd.com/OddwoodAles/beer
41,Southern Heights Brewing,6014 Techni Center Drive,78721,East,https://untappd.com/SHBC/beer
42,Zilker Brewing,1701 E 6th Street,78702,East,https://untappd.com/ZilkerBrewingCompany/beer
43,12 Fox Beer Company,4700 W Fitzhugh Road,78620,West,https://untappd.com/12FoxBeer/beer
44,Acopon Brewing,211 W. Mercer Street,78620,West,https://untappd.com/AcoponBrewingCompany/beer
45,Beerburg Brewing,13476 Fitzhugh Rd,78736,West,https://untappd.com/BeerburgBrewing/beer
46,Family Business Beer,19510 Hamilton Pool Road,78620,West,https://untappd.com/w/family-business-beer-company/378401/beer
47,Infamous Brewing Company,4602 Weletka Drive,78734,West,https://untappd.com/InfamousBrewing/beer
48,Jester King Brewery,13187 Fitzhugh Road,78736,West,https://untappd.com/jesterking/beer
49,Last Stand Brewing,12345 Pauls Valley Road,78737,West,https://untappd.com/LastStandBrewing/beer
50,Oasis Texas Brewing,6550 Comanche Trail,78732,West,https://untappd.com/oasistxbrewing/beer
51,One Shot Distillery & Brewery,31610 Ranch Road 12,78620,West,https://untappd.com/OneShotBrewery/beer
52,Suds Monkey Brewing ,1032 Canyon Bend Drive,78620,West,https://untappd.com/SudsMonkeyBrewingCompany/beer
53,Twisted X Brewing,23455 Ranch to Market Road 150,78620,West,https://untappd.com/TwistedXBrewingCompany/beer
54,Vista Brewing,13551 Ranch to Market Road 150,78619,West,https://untappd.com/VistaBrewing/beer
